"x"
"0,120,10,75,11,15,4,540,11,15,7,345,0,330"
"0,300,5,15,2,15,6,30,1,30,11,60,10,150,11,10,10,5,11,45,5,5,11,15,10,20,11,10,10,10,11,15,5,105,5,10,2,20,7,330,1,30,0,210"
"0,120,2,30,1,30,11,20,4,120,2,15,4,385,11,20,5,20,0,50,5,40,2,20,7,210,0,360"
"0,360,5,60,4,180,7,120,1,30,11,15,8,105,11,20,2,30,7,190,11,30,7,20,0,280"
"0,420,1,60,2,30,7,210,11,10,2,90,11,10,7,60,8,25,8,30,1,20,7,60,7,60,0,355"
"0,480,7,30,2,45,7,60,1,60,7,90,7,120,7,90,7,225,3,240"
"0,210,1,25,2,15,11,20,10,45,11,20,7,180,11,30,7,180,2,35,11,30,7,320,0,330"
"0,300,7,60,1,30,11,5,2,30,7,60,11,40,10,120,11,45,0,150,1,15,2,30,7,120,7,120,0,315"
"0,480,2,60,3,120,7,60,7,120,2,30,1,5,7,205,0,360"
"0,300,3,290,11,5,10,30,11,5,5,45,2,45,3,110,10,60,2,60,3,70,1,60,7,90,0,270"
"0,150,1,60,5,40,2,20,3,510,5,15,2,20,3,175,1,30,0,420"
"0,270,2,15,7,60,3,645,2,30,1,10,0,410"
"0,300,2,20,3,220,2,30,7,45,3,255,2,30,3,60,7,60,1,30,0,390"
"0,180,1,20,11,20,3,310,2,45,3,90,3,85,3,60,11,15,10,165,11,30,10,120,0,300"
"0,240,5,15,2,5,5,5,1,10,3,685,5,30,5,10,2,50,5,5,7,25,7,30,0,330"
"0,195,1,20,11,3,4,282,11,5,10,5,11,5,7,15,4,230,11,5,10,30,11,5,1,2,0,120,7,45,7,60,10,15,7,60,1,2,1,20,10,10,7,35,2,15,0,256"
"0,90,5,60,2,30,11,30,4,300,8,20,4,115,2,20,4,145,11,45,3,90,8,60,5,25,1,15,7,60,7,60,0,275"
"0,105,4,30,5,2,2,10,10,33,4,360,2,30,4,120,7,90,5,20,2,30,7,70,4,30,7,90,0,420"
"0,240,7,30,2,15,7,90,5,30,5,60,7,60,0,345,7,10,7,140,7,15,5,2,10,60,0,343"
"0,420,1,10,2,10,7,40,11,20,6,2,11,20,6,2,11,5,10,5,11,10,5,150,5,60,11,10,4,40,7,21,11,10,7,60,2,45,7,45,7,95,7,60,1,10,0,290"
"0,420,11,10,2,60,11,10,1,15,11,45,4,220,7,20,4,160,7,20,4,190,11,40,0,230"
"0,120,1,30,2,20,11,1,6,5,6,1,11,20,3,33,3,270,6,15,2,15,3,100,8,90,8,90,11,17,1,25,2,20,7,448,0,120"
